animal_id,section_id,region_name,area_pixels,file_path
M776,s053,VISli,181560,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s053_VISli.pkl
M776,s053,VISp,5750860,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s053_VISp.pkl
M776,s053,VISpl,259340,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s053_VISpl.pkl
M776,s053,VISpm,8800,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s053_VISpm.pkl
M776,s053,VISpor,2497300,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s053_VISpor.pkl
M776,s054,RSPagl,745740,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s054_RSPagl.pkl
M776,s054,RSPd,1219200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s054_RSPd.pkl
M776,s054,VISl,184400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s054_VISl.pkl
M776,s054,VISp,3502100,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s054_VISp.pkl
M776,s054,VISpl,1210740,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s054_VISpl.pkl
M776,s054,VISpor,921200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s054_VISpor.pkl
M776,s055,RSPagl,309200,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s055_RSPagl.pkl
M776,s055,RSPd,438400,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s055_RSPd.pkl
M776,s055,VISl,182000,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s055_VISl.pkl
M776,s055,VISp,1428700,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s055_VISp.pkl
M776,s055,VISpl,554520,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s055_VISpl.pkl
M776,s055,VISpor,1035480,/Volumes/euiseokdataUCSC_1/Matt_Jacobs/Images_and_Data/H2B_quantification/p60/m776/M776_s055_VISpor.pkl
